work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_currency
2020,Mid-level,Full-time,Data Scientist,118000,USD,118000,US,Remote,US,Medium,USD
2020,Senior-level,Full-time,Data Scientist,120000,USD,120000,US,Hybrid,US,Large,USD
2020,Mid-level,Full-time,Data Scientist,138350,USD,138350,US,Remote,US,Medium,USD
2020,Mid-level,Full-time,Data Engineer,110000,USD,110000,US,Remote,US,Large,USD
2020,Mid-level,Full-time,Data Engineer,130800,USD,130800,Others,Remote,US,Medium,
2020,Entry-level,Part-time,Data Scientist,19000,EUR,21669,Others,Hybrid,IT,Small,
2020,Senior-level,Full-time,Data Scientist,412000,USD,412000,US,Remote,US,Large,USD
2020,Senior-level,Full-time,Machine Learning Engineer,40000,EUR,45618,Others,Remote,HR,Small,
2020,Entry-level,Full-time,Data Scientist,55000,EUR,62726,DE,Hybrid,DE,Small,EUR
2020,Entry-level,Full-time,Data Scientist,43200,EUR,49268,DE,On-site,DE,Small,EUR
2020,Senior-level,Full-time,Data Science Manager,190200,USD,190200,US,Remote,US,Medium,USD
2020,Entry-level,Full-time,Data Scientist,105000,USD,105000,US,Remote,US,Small,USD
2020,Senior-level,Full-time,Data Scientist,80000,EUR,91237,Others,On-site,AT,Small,
2020,Mid-level,Full-time,Data Scientist,55000,EUR,62726,Others,Hybrid,LU,Small,
2020,Mid-level,Full-time,Data Scientist,37000,EUR,42197,Others,Hybrid,FR,Small,
2021,Entry-level,Full-time,Research Scientist,60000,GBP,82528,GB,Hybrid,GB,Large,GBP
2021,Executive-level,Full-time,BI Data Analyst,150000,USD,150000,IN,Remote,US,Large,INR
2021,Executive-level,Full-time,Head of Data,235000,USD,235000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Data Scientist,45000,EUR,53192,Others,Hybrid,FR,Large,
2021,Mid-level,Full-time,BI Data Analyst,100000,USD,100000,US,Remote,US,Medium,USD
2021,Mid-level,Part-time,3D Computer Vision Researcher,400000,INR,5409,IN,Hybrid,IN,Medium,INR
2021,Mid-level,Contract,Machine Learning Engineer,270000,USD,270000,US,Remote,US,Large,USD
2021,Entry-level,Full-time,Data Analyst,80000,USD,80000,US,Remote,US,Medium,USD
2021,Senior-level,Full-time,Data Analytics Engineer,67000,EUR,79197,DE,Remote,DE,Large,EUR
2021,Mid-level,Full-time,Data Engineer,140000,USD,140000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,Applied Data Scientist,68000,CAD,54238,GB,Hybrid,CA,Large,GBP
2021,Mid-level,Full-time,Machine Learning Engineer,40000,EUR,47282,Others,Remote,ES,Small,
2021,Executive-level,Full-time,Director of Data Science,130000,EUR,153667,Others,Remote,PL,Large,
2021,Mid-level,Full-time,Data Engineer,110000,PLN,28476,Others,Remote,PL,Large,
2021,Entry-level,Full-time,Data Analyst,50000,EUR,59102,Others,Hybrid,FR,Medium,
2021,Mid-level,Full-time,Data Analytics Engineer,110000,USD,110000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Lead Data Analyst,170000,USD,170000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Data Analyst,80000,USD,80000,Others,Remote,US,Small,
2021,Senior-level,Full-time,Marketing Data Analyst,75000,EUR,88654,Others,Remote,DK,Large,
2021,Entry-level,Full-time,Data Science Consultant,65000,EUR,76833,DE,Remote,DE,Small,EUR
2021,Mid-level,Full-time,Lead Data Analyst,1450000,INR,19609,IN,Remote,IN,Large,INR
2021,Senior-level,Full-time,Lead Data Engineer,276000,USD,276000,US,On-site,US,Large,USD
2021,Entry-level,Full-time,Data Scientist,2200000,INR,29751,IN,Hybrid,IN,Large,INR
2021,Mid-level,Full-time,Cloud Data Engineer,120000,SGD,89294,Others,Hybrid,SG,Large,
2021,Entry-level,Part-time,AI Scientist,12000,USD,12000,Others,Remote,US,Small,
2021,Mid-level,Full-time,Financial Data Analyst,450000,USD,450000,US,Remote,US,Large,USD
2021,Entry-level,Full-time,Computer Vision Software Engineer,70000,USD,70000,US,Remote,US,Medium,USD
2021,Mid-level,Full-time,Computer Vision Software Engineer,81000,EUR,95746,DE,Remote,US,Small,EUR
2021,Mid-level,Full-time,Data Analyst,75000,USD,75000,US,On-site,US,Large,USD
2021,Senior-level,Full-time,Data Engineer,150000,USD,150000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,BI Data Analyst,11000000,HUF,36259,Others,Hybrid,US,Large,
2021,Mid-level,Full-time,Data Analyst,62000,USD,62000,US,On-site,US,Large,USD
2021,Mid-level,Full-time,Data Scientist,73000,USD,73000,US,On-site,US,Large,USD
2021,Mid-level,Full-time,Data Analyst,37456,GBP,51519,GB,Hybrid,GB,Large,GBP
2021,Mid-level,Full-time,Research Scientist,235000,CAD,187442,CA,Remote,CA,Large,CAD
2021,Senior-level,Full-time,Data Engineer,115000,USD,115000,US,Remote,US,Small,USD
2021,Senior-level,Full-time,Data Engineer,150000,USD,150000,US,Remote,US,Medium,USD
2021,Entry-level,Full-time,Data Engineer,2250000,INR,30428,IN,Remote,IN,Large,INR
2021,Senior-level,Full-time,Machine Learning Engineer,80000,EUR,94564,DE,Hybrid,DE,Large,EUR
2021,Senior-level,Full-time,Director of Data Engineering,82500,GBP,113476,GB,Remote,GB,Medium,GBP
2021,Senior-level,Full-time,Lead Data Engineer,75000,GBP,103160,GB,Remote,GB,Small,GBP
2021,Entry-level,Part-time,AI Scientist,12000,USD,12000,Others,Remote,US,Medium,
2021,Mid-level,Full-time,Data Engineer,38400,EUR,45391,Others,Remote,NL,Large,
2021,Entry-level,Full-time,Machine Learning Scientist,225000,USD,225000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,Data Scientist,50000,USD,50000,Others,Remote,NG,Large,
2021,Mid-level,Full-time,Data Science Engineer,34000,EUR,40189,Others,Remote,GR,Medium,
2021,Entry-level,Full-time,Data Analyst,90000,USD,90000,US,Remote,US,Small,USD
2021,Mid-level,Full-time,Data Engineer,200000,USD,200000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,Big Data Engineer,60000,USD,60000,Others,Hybrid,RO,Medium,
2021,Senior-level,Full-time,Principal Data Engineer,200000,USD,200000,US,Remote,US,Medium,USD
2021,Entry-level,Full-time,Data Analyst,50000,USD,50000,US,Remote,US,Medium,USD
2021,Entry-level,Full-time,Applied Data Scientist,80000,GBP,110037,GB,On-site,GB,Large,GBP
2021,Entry-level,Part-time,Data Analyst,8760,EUR,10354,Others,Hybrid,ES,Medium,
2021,Mid-level,Full-time,Principal Data Scientist,151000,USD,151000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Machine Learning Scientist,120000,USD,120000,US,Hybrid,US,Small,USD
2021,Mid-level,Full-time,Data Scientist,700000,INR,9466,IN,On-site,IN,Small,INR
2021,Entry-level,Full-time,Machine Learning Engineer,20000,USD,20000,IN,Remote,IN,Small,INR
2021,Senior-level,Full-time,Lead Data Scientist,3000000,INR,40570,IN,Hybrid,IN,Large,INR
2021,Entry-level,Full-time,Machine Learning Developer,100000,USD,100000,Others,Hybrid,IQ,Small,
2021,Entry-level,Full-time,Data Scientist,42000,EUR,49646,Others,Hybrid,FR,Medium,
2021,Mid-level,Full-time,Applied Machine Learning Scientist,38400,USD,38400,Others,Remote,US,Medium,
2021,Senior-level,Full-time,Computer Vision Engineer,24000,USD,24000,Others,Remote,BR,Medium,
2021,Entry-level,Full-time,Data Scientist,100000,USD,100000,US,On-site,US,Small,USD
2021,Mid-level,Full-time,Data Analyst,90000,USD,90000,US,Remote,US,Medium,USD
2021,Mid-level,Full-time,Machine Learning Engineer,7000000,JPY,63711,Others,Hybrid,JP,Small,
2021,Mid-level,Full-time,Machine Learning Engineer,8500000,JPY,77364,Others,Hybrid,JP,Small,
2021,Senior-level,Full-time,Principal Data Scientist,220000,USD,220000,US,On-site,US,Large,USD
2021,Entry-level,Full-time,Data Scientist,80000,USD,80000,US,Remote,US,Medium,USD
2021,Mid-level,Full-time,Data Analyst,135000,USD,135000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Data Science Manager,240000,USD,240000,US,On-site,US,Large,USD
2021,Senior-level,Full-time,Data Engineering Manager,150000,USD,150000,US,On-site,US,Large,USD
2021,Mid-level,Full-time,Data Scientist,82500,USD,82500,US,Remote,US,Small,USD
2021,Mid-level,Full-time,Data Engineer,100000,USD,100000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Machine Learning Engineer,70000,EUR,82744,Others,Hybrid,BE,Medium,
2021,Mid-level,Full-time,Research Scientist,53000,EUR,62649,Others,Hybrid,FR,Medium,
2021,Mid-level,Full-time,Data Engineer,90000,USD,90000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Data Engineering Manager,153000,USD,153000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Cloud Data Engineer,160000,USD,160000,Others,Remote,US,Small,
2021,Senior-level,Full-time,Director of Data Science,168000,USD,168000,Others,On-site,JP,Small,
2021,Mid-level,Full-time,Data Scientist,150000,USD,150000,US,Remote,US,Medium,USD
2021,Mid-level,Full-time,Data Scientist,95000,CAD,75774,CA,Remote,CA,Large,CAD
2021,Entry-level,Full-time,Data Scientist,13400,USD,13400,Others,Remote,UA,Large,
2021,Senior-level,Full-time,Data Science Manager,144000,USD,144000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Data Science Engineer,159500,CAD,127221,CA,Hybrid,CA,Large,CAD
2021,Mid-level,Full-time,Data Scientist,160000,SGD,119059,Others,Remote,IL,Medium,
2021,Mid-level,Full-time,Applied Machine Learning Scientist,423000,USD,423000,US,Hybrid,US,Large,USD
2021,Senior-level,Full-time,Data Analytics Manager,120000,USD,120000,US,Remote,US,Medium,USD
2021,Entry-level,Full-time,Machine Learning Engineer,125000,USD,125000,US,Remote,US,Small,USD
2021,Executive-level,Full-time,Head of Data,230000,USD,230000,Others,Hybrid,RU,Large,
2021,Executive-level,Full-time,Head of Data Science,85000,USD,85000,Others,On-site,RU,Medium,
2021,Mid-level,Full-time,Data Engineer,24000,EUR,28369,Others,Hybrid,MT,Large,
2021,Entry-level,Full-time,Data Science Consultant,54000,EUR,63831,DE,Hybrid,DE,Large,EUR
2021,Executive-level,Full-time,Director of Data Science,110000,EUR,130026,DE,Hybrid,DE,Medium,EUR
